NumberOfRuns,CROSSOVER,NIND,MAXGEN,ELITIST,PR_CROSS,PR_MUT,stoppingCriteria,n_percentage,delta,InitializationMethode,RepresentationMethode,MutationMethode,Time,ShortestPath,Generations
1,xalt_edges,300,300,0.05,0.7,0.15,4,0.5,70,1,2,scramble,7.9353821,2639.56756689554,300
2,xalt_edges,300,300,0.05,0.7,0.15,4,0.5,70,1,2,scramble,6.1417203,2526.77535143605,300
3,xalt_edges,300,300,0.05,0.7,0.15,4,0.5,70,1,2,scramble,7.193753,2450.90331434819,300
4,xalt_edges,300,300,0.05,0.7,0.15,4,0.5,70,1,2,scramble,7.072561,2515.51817882635,300
5,xalt_edges,300,300,0.05,0.7,0.15,4,0.5,70,1,2,scramble,6.8605007,2663.59790986851,300
6,xalt_edges,300,300,0.05,0.7,0.15,4,0.5,70,1,2,scramble,7.9066887,2514.67887202458,300
7,xalt_edges,300,300,0.05,0.7,0.15,4,0.5,70,1,2,scramble,7.3558051,2457.79591586562,300
8,xalt_edges,300,300,0.05,0.7,0.15,4,0.5,70,1,2,scramble,6.7150855,2303.04360567807,300
9,xalt_edges,300,300,0.05,0.7,0.15,4,0.5,70,1,2,scramble,6.7759803,2435.72270121017,300
10,xalt_edges,300,300,0.05,0.7,0.15,4,0.5,70,1,2,scramble,6.410261,2398.06366857085,300
1,xpmx,300,300,0.05,0.7,0.15,4,0.5,70,1,2,scramble,6.2253588,2639.56756689554,300
2,xpmx,300,300,0.05,0.7,0.15,4,0.5,70,1,2,scramble,6.3251753,2526.77535143605,300
3,xpmx,300,300,0.05,0.7,0.15,4,0.5,70,1,2,scramble,6.3134572,2450.90331434819,300
4,xpmx,300,300,0.05,0.7,0.15,4,0.5,70,1,2,scramble,6.3156501,2515.51817882635,300
5,xpmx,300,300,0.05,0.7,0.15,4,0.5,70,1,2,scramble,5.8365485,2663.59790986851,300
6,xpmx,300,300,0.05,0.7,0.15,4,0.5,70,1,2,scramble,5.9150132,2514.67887202458,300
7,xpmx,300,300,0.05,0.7,0.15,4,0.5,70,1,2,scramble,5.8540557,2457.79591586562,300
8,xpmx,300,300,0.05,0.7,0.15,4,0.5,70,1,2,scramble,5.8421004,2303.04360567807,300
9,xpmx,300,300,0.05,0.7,0.15,4,0.5,70,1,2,scramble,5.8617674,2435.72270121017,300
10,xpmx,300,300,0.05,0.7,0.15,4,0.5,70,1,2,scramble,5.8568917,2398.06366857085,300
1,x_orderx,300,300,0.05,0.7,0.15,4,0.5,70,1,2,scramble,5.8554216,2639.56756689554,300
2,x_orderx,300,300,0.05,0.7,0.15,4,0.5,70,1,2,scramble,5.8586638,2526.77535143605,300
3,x_orderx,300,300,0.05,0.7,0.15,4,0.5,70,1,2,scramble,5.9532035,2450.90331434819,300
4,x_orderx,300,300,0.05,0.7,0.15,4,0.5,70,1,2,scramble,5.956756,2515.51817882635,300
5,x_orderx,300,300,0.05,0.7,0.15,4,0.5,70,1,2,scramble,5.8816391,2663.59790986851,300
6,x_orderx,300,300,0.05,0.7,0.15,4,0.5,70,1,2,scramble,5.8632089,2514.67887202458,300
7,x_orderx,300,300,0.05,0.7,0.15,4,0.5,70,1,2,scramble,5.8488428,2457.79591586562,300
8,x_orderx,300,300,0.05,0.7,0.15,4,0.5,70,1,2,scramble,5.862914,2303.04360567807,300
9,x_orderx,300,300,0.05,0.7,0.15,4,0.5,70,1,2,scramble,5.8644204,2435.72270121017,300
10,x_orderx,300,300,0.05,0.7,0.15,4,0.5,70,1,2,scramble,5.8484171,2398.06366857085,300
1,uhx,300,300,0.05,0.7,0.15,4,0.5,70,1,2,scramble,5.6425117,739.269642536955,300
2,uhx,300,300,0.05,0.7,0.15,4,0.5,70,1,2,scramble,5.7591815,754.621145571217,300
3,uhx,300,300,0.05,0.7,0.15,4,0.5,70,1,2,scramble,5.6050503,726.334985196156,300
4,uhx,300,300,0.05,0.7,0.15,4,0.5,70,1,2,scramble,5.7226543,684.048676183642,300
5,uhx,300,300,0.05,0.7,0.15,4,0.5,70,1,2,scramble,5.6712718,751.819454331141,300
6,uhx,300,300,0.05,0.7,0.15,4,0.5,70,1,2,scramble,5.6408478,664.122720615077,300
7,uhx,300,300,0.05,0.7,0.15,4,0.5,70,1,2,scramble,6.0189375,695.005360614516,300
8,uhx,300,300,0.05,0.7,0.15,4,0.5,70,1,2,scramble,16.4212178,735.60075804992,300
9,uhx,300,300,0.05,0.7,0.15,4,0.5,70,1,2,scramble,5.5737856,729.809545469937,300
10,uhx,300,300,0.05,0.7,0.15,4,0.5,70,1,2,scramble,5.6185949,755.341680407382,300
1,xalt_edges,300,300,0.05,0.7,0.15,4,0.5,70,2,2,scramble,6.4937248,1159.47132355494,300
2,xalt_edges,300,300,0.05,0.7,0.15,4,0.5,70,2,2,scramble,6.1755726,1094.02060113503,300
3,xalt_edges,300,300,0.05,0.7,0.15,4,0.5,70,2,2,scramble,6.1822548,1145.14099158283,300
4,xalt_edges,300,300,0.05,0.7,0.15,4,0.5,70,2,2,scramble,6.3876566,1069.7008169484,300
5,xalt_edges,300,300,0.05,0.7,0.15,4,0.5,70,2,2,scramble,7.115344,1138.0144195641,300
6,xalt_edges,300,300,0.05,0.7,0.15,4,0.5,70,2,2,scramble,6.5912523,1072.6305613948,300
7,xalt_edges,300,300,0.05,0.7,0.15,4,0.5,70,2,2,scramble,6.8263345,1134.02568251912,300
8,xalt_edges,300,300,0.05,0.7,0.15,4,0.5,70,2,2,scramble,6.407451,1116.68308273614,300
9,xalt_edges,300,300,0.05,0.7,0.15,4,0.5,70,2,2,scramble,6.6025788,1116.65894993494,300
10,xalt_edges,300,300,0.05,0.7,0.15,4,0.5,70,2,2,scramble,6.5305982,1056.95293594529,300
1,xpmx,300,300,0.05,0.7,0.15,4,0.5,70,2,2,scramble,6.274612,1159.47132355494,300
2,xpmx,300,300,0.05,0.7,0.15,4,0.5,70,2,2,scramble,7.917903,1094.02060113503,300
3,xpmx,300,300,0.05,0.7,0.15,4,0.5,70,2,2,scramble,7.280763,1145.14099158283,300
4,xpmx,300,300,0.05,0.7,0.15,4,0.5,70,2,2,scramble,7.0407551,1069.7008169484,300
5,xpmx,300,300,0.05,0.7,0.15,4,0.5,70,2,2,scramble,6.4277587,1138.0144195641,300
6,xpmx,300,300,0.05,0.7,0.15,4,0.5,70,2,2,scramble,7.676153,1072.6305613948,300
7,xpmx,300,300,0.05,0.7,0.15,4,0.5,70,2,2,scramble,6.640972,1134.02568251912,300
8,xpmx,300,300,0.05,0.7,0.15,4,0.5,70,2,2,scramble,6.8141927,1116.68308273614,300
9,xpmx,300,300,0.05,0.7,0.15,4,0.5,70,2,2,scramble,7.7795833,1116.65894993494,300
10,xpmx,300,300,0.05,0.7,0.15,4,0.5,70,2,2,scramble,7.4230028,1056.95293594529,300
1,x_orderx,300,300,0.05,0.7,0.15,4,0.5,70,2,2,scramble,6.6903362,1159.47132355494,300
2,x_orderx,300,300,0.05,0.7,0.15,4,0.5,70,2,2,scramble,6.3607371,1094.02060113503,300
3,x_orderx,300,300,0.05,0.7,0.15,4,0.5,70,2,2,scramble,6.9034348,1145.14099158283,300
4,x_orderx,300,300,0.05,0.7,0.15,4,0.5,70,2,2,scramble,6.6087367,1069.7008169484,300
5,x_orderx,300,300,0.05,0.7,0.15,4,0.5,70,2,2,scramble,6.2888201,1138.0144195641,300
6,x_orderx,300,300,0.05,0.7,0.15,4,0.5,70,2,2,scramble,6.5698903,1072.6305613948,300
7,x_orderx,300,300,0.05,0.7,0.15,4,0.5,70,2,2,scramble,6.5571367,1134.02568251912,300
8,x_orderx,300,300,0.05,0.7,0.15,4,0.5,70,2,2,scramble,6.4084722,1116.68308273614,300
9,x_orderx,300,300,0.05,0.7,0.15,4,0.5,70,2,2,scramble,6.5360275,1116.65894993494,300
10,x_orderx,300,300,0.05,0.7,0.15,4,0.5,70,2,2,scramble,6.5002937,1056.95293594529,300
1,uhx,300,300,0.05,0.7,0.15,4,0.5,70,2,2,scramble,7.0353757,674.931887416657,300
2,uhx,300,300,0.05,0.7,0.15,4,0.5,70,2,2,scramble,7.0122754,674.035050260697,300
3,uhx,300,300,0.05,0.7,0.15,4,0.5,70,2,2,scramble,7.2992856,643.852333165983,300
4,uhx,300,300,0.05,0.7,0.15,4,0.5,70,2,2,scramble,8.4214548,681.583144359042,300
5,uhx,300,300,0.05,0.7,0.15,4,0.5,70,2,2,scramble,8.3176819,668.864692175711,300
