NumberOfRuns,CROSSOVER,NIND,MAXGEN,ELITIST,PR_CROSS,PR_MUT,stoppingCriteria,n_percentage,delta,InitializationMethode,RepresentationMethode,Time,ShortestPath,Generations
5,xalt_edges,32,30,0.05,0.05,0.05,4,1,1,1,1,0.0477946,2375.73286156817,30
6,xalt_edges,32,30,0.05,0.05,0.05,4,1,1,1,1,0.0463108,2375.73286156817,30
7,xalt_edges,32,30,0.05,0.05,0.05,4,1,1,1,1,0.0466414,2375.73286156817,30
8,xalt_edges,32,30,0.05,0.05,0.05,4,1,1,1,1,0.0464242,2375.73286156817,30
9,xalt_edges,32,30,0.05,0.05,0.05,4,1,1,1,1,0.0466677,2375.73286156817,30
10,xalt_edges,32,30,0.05,0.05,0.05,4,1,1,1,1,0.0543704,2375.73286156817,30
1,xalt_edges,64,30,0.05,0.05,0.05,4,1,1,1,1,0.079387,2063.61408931599,30
2,xalt_edges,64,30,0.05,0.05,0.05,4,1,1,1,1,0.0797746,2063.61408931599,30
3,xalt_edges,64,30,0.05,0.05,0.05,4,1,1,1,1,0.0792685,2063.61408931599,30
4,xalt_edges,64,30,0.05,0.05,0.05,4,1,1,1,1,0.0792966,2063.61408931599,30
5,xalt_edges,64,30,0.05,0.05,0.05,4,1,1,1,1,0.0796588,2063.61408931599,30
6,xalt_edges,64,30,0.05,0.05,0.05,4,1,1,1,1,0.0798679,2063.61408931599,30
7,xalt_edges,64,30,0.05,0.05,0.05,4,1,1,1,1,0.0805157,2063.61408931599,30
8,xalt_edges,64,30,0.05,0.05,0.05,4,1,1,1,1,0.0798622,2063.61408931599,30
9,xalt_edges,64,30,0.05,0.05,0.05,4,1,1,1,1,0.0814691,2063.61408931599,30
10,xalt_edges,64,30,0.05,0.05,0.05,4,1,1,1,1,0.0813423,2063.61408931599,30
1,xalt_edges,96,30,0.05,0.05,0.05,4,1,1,1,1,0.1189349,1939.00022739357,30
2,xalt_edges,96,30,0.05,0.05,0.05,4,1,1,1,1,0.1219002,1939.00022739357,30
3,xalt_edges,96,30,0.05,0.05,0.05,4,1,1,1,1,0.1182856,1939.00022739357,30
4,xalt_edges,96,30,0.05,0.05,0.05,4,1,1,1,1,0.1176786,1939.00022739357,30
5,xalt_edges,96,30,0.05,0.05,0.05,4,1,1,1,1,0.1168988,1939.00022739357,30
6,xalt_edges,96,30,0.05,0.05,0.05,4,1,1,1,1,0.116501,1939.00022739357,30
7,xalt_edges,96,30,0.05,0.05,0.05,4,1,1,1,1,0.1136796,1939.00022739357,30
8,xalt_edges,96,30,0.05,0.05,0.05,4,1,1,1,1,0.1157022,1939.00022739357,30
9,xalt_edges,96,30,0.05,0.05,0.05,4,1,1,1,1,0.1143993,1939.00022739357,30
10,xalt_edges,96,30,0.05,0.05,0.05,4,1,1,1,1,0.121077,1939.00022739357,30
1,xalt_edges,128,30,0.05,0.05,0.05,4,1,1,1,1,0.1614008,1776.15700408954,30
2,xalt_edges,128,30,0.05,0.05,0.05,4,1,1,1,1,0.1532918,1776.15700408954,30
3,xalt_edges,128,30,0.05,0.05,0.05,4,1,1,1,1,0.1519825,1776.15700408954,30
4,xalt_edges,128,30,0.05,0.05,0.05,4,1,1,1,1,0.1547297,1776.15700408954,30
5,xalt_edges,128,30,0.05,0.05,0.05,4,1,1,1,1,0.151914,1776.15700408954,30
